CID000000085,CID000000206,8
CID000000085,CID000000271,9
CID000000085,CID000000444,35
CID000000085,CID000000772,5
CID000000085,CID000000853,4
CID000000085,CID000000937,8
CID000000085,CID000000942,32
CID000000085,CID000001983,4
CID000000085,CID000002162,5
CID000000085,CID000002244,4
CID000000085,CID000002250,2
CID000000085,CID000002462,6
CID000000085,CID000002524,2
CID000000085,CID000002585,6
CID000000085,CID000002771,19
CID000000085,CID000002803,8
CID000000085,CID000002806,6
CID000000085,CID000003016,6
CID000000085,CID000003043,15
CID000000085,CID000003062,32
CID000000085,CID000003075,8
CID000000085,CID000003121,1
CID000000085,CID000003348,21
CID000000085,CID000003365,9
CID000000085,CID000003405,4
CID000000085,CID000003440,14
CID000000085,CID000003446,16
CID000000085,CID000003478,13
CID000000085,CID000003696,2
CID000000085,CID000003878,8
CID000000085,CID000003883,6
CID000000085,CID000003937,28
CID000000085,CID000003957,11
CID000000085,CID000003958,14
CID000000085,CID000004168,3
CID000000085,CID000004171,7
CID000000085,CID000004205,3
CID000000085,CID000004510,16
CID000000085,CID000004543,28
CID000000085,CID000004583,14
CID000000085,CID000004594,4
CID000000085,CID000004634,2
CID000000085,CID000004679,5
CID000000085,CID000004740,5
CID000000085,CID000004829,10
CID000000085,CID000004894,8
CID000000085,CID000005038,12
CID000000085,CID000005039,3
CID000000085,CID000005073,14
CID000000085,CID000005076,16
CID000000085,CID000005090,32
CID000000085,CID000005267,11
CID000000085,CID000005408,12
CID000000085,CID000005514,14
CID000000085,CID000005732,9
CID000000085,CID000006691,30
CID000000085,CID000008953,4
CID000000085,CID000027661,6
CID000000085,CID000054454,15
CID000000085,CID000059708,8
CID000000085,CID000062924,13
CID000000085,CID000087177,3
CID000000085,CID000150311,10
CID000000085,CID000156419,4
CID000000085,CID003085017,5
CID000000085,CID003468412,9
CID000000085,CID005281104,1
CID000000085,CID006398525,11
CID000000119,CID000000772,4
CID000000119,CID000001117,30
CID000000119,CID000001972,26
CID000000119,CID000001983,16
CID000000119,CID000002022,16
CID000000119,CID000002083,29
CID000000119,CID000002162,20
CID000000119,CID000002244,2
CID000000119,CID000002250,25
CID000000119,CID000002265,35
CID000000119,CID000002274,28
CID000000119,CID000002622,18
CID000000119,CID000002650,33
CID000000119,CID000002656,18
CID000000119,CID000002764,19
CID000000119,CID000002771,9
CID000000119,CID000002907,10
CID000000119,CID000002909,14
CID000000119,CID000003325,18
CID000000119,CID000003365,16
CID000000119,CID000003367,6
CID000000119,CID000003405,15
CID000000119,CID000003440,12
CID000000119,CID000003454,25
CID000000119,CID000003467,16
CID000000119,CID000003640,22
CID000000119,CID000003883,11
CID000000119,CID000003929,30
CID000000119,CID000003958,18
CID000000119,CID000004159,20
CID000000119,CID000004173,14
CID000000119,CID000004253,35
CID000000119,CID000004594,34
CID000000119,CID000004595,21
CID000000119,CID000004679,23
CID000000119,CID000004873,36
CID000000119,CID000004894,27
CID000000119,CID000004900,5
CID000000119,CID000004943,13
CID000000119,CID000005039,7
CID000000119,CID000005372,12
CID000000119,CID000005645,16
CID000000119,CID000005651,16
CID000000119,CID000006691,11
CID000000119,CID000008953,9
CID000000119,CID000039765,31
CID000000119,CID000083786,27
CID000000143,CID000000206,6
CID000000143,CID000000444,4
CID000000143,CID000000450,13
CID000000143,CID000000453,11
CID000000143,CID000000581,11
CID000000143,CID000000598,1
CID000000143,CID000000937,6
CID000000143,CID000000942,14
CID000000143,CID000001117,1
